id,name,email,username,phone,street_address,city,state,zip_code,birth_date,age,income,segment,tier,total_purchases,acquisition_source,valid_from,valid_to,active
CUST_000001,Stacie Bryant,stacie.bryant@yahoo.com,staciebryant,+1-819-794-2263x071,413 Jennifer Burg Suite 147,Stevenchester,NV,37972,1963-01-24,35,65701.83632977224,premium,regular,0,paid_search,2022-03-01 18:54:36,,True
CUST_000002,Joseph Patrick,joseph_patrick@hotmail.com,joseph_patrick,+1-667-399-3788x15271,351 Jones Stream Suite 166,Bairdborough,NJ,03010,2006-12-11,34,57758.62990420867,mainstream,regular,0,referral,2022-03-01 12:06:14,2022-03-01 12:37:33,True
CUST_000002,Joseph Patrick,joseph_patrick@hotmail.com,joseph_patrick,+1-667-399-3788x15271,351 Jones Stream Suite 166,Bairdborough,NJ,03010,2006-12-11,34,57758.62990420867,mainstream,regular,1,referral,2022-03-01 12:37:33,,True
CUST_000003,Lindsay Ramos,lindsay_ramos@yahoo.com,lramos333,+1-800-820-7540x797,2838 Larson Spring,South Michelle,CA,30894,1933-10-23,43,82442.90040552829,mainstream,regular,0,social,2022-03-01 09:09:51,,True
CUST_000004,Jacob Brown,jacob_brown@outlook.com,jacobbrown,001-324-584-3279x6915,048 Snyder Extension,Wallsmouth,RI,46503,1956-05-03,6,36392.401774632366,budget,regular,0,organic,2022-03-01 20:39:05,,True
CUST_000005,Dr Howard Bradley,drhowardbradley@outlook.com,dr.howardbradley,001-949-272-1972,901 Peter Points Suite 504,Charleston,SD,81695,1926-09-06,12,36320.33452078812,budget,regular,0,paid_search,2022-03-01 11:13:28,,True
CUST_000006,Neil Thomas,neilthomas@outlook.com,neilthomas,275-739-8935,50510 Myers Meadow,West Maryberg,UT,92766,1983-11-29,37,12892.963717305001,budget,regular,0,paid_search,2022-03-02 06:37:56,,True
CUST_000007,Earl Garcia,earl.garcia@gmail.com,earl.garcia,+1-334-489-2788x70569,047 Hull Extensions Suite 280,East John,CA,93517,1942-06-07,30,67561.55288998425,mainstream,regular,0,organic,2022-03-02 13:21:18,,True
CUST_000008,Justin Vasquez,justinvasquez@yahoo.com,justinvasquez,(331)714-6268,50811 Taylor Tunnel,Fuentesview,PR,46661,1987-09-10,42,21731.455607443797,mainstream,regular,0,organic,2022-03-02 13:26:43,,True
CUST_000009,Elizabeth Church,echurch318@yahoo.com,elizabeth_church,323.413.3023,3409 Meyers Oval,Parkerberg,NC,47939,1931-05-14,48,74772.31268567205,mainstream,regular,0,paid_search,2022-03-02 17:15:35,,True
CUST_000010,Ryan Chapman,ryanchapman@outlook.com,ryanchapman,001-585-622-8722x0589,5004 Trevor Cape Apt. 255,Sherribury,ND,29665,1922-09-16,39,41021.18868456556,mainstream,regular,0,organic,2022-03-02 11:49:05,,True
CUST_000011,Kelly Wright,kelly.wright@gmail.com,kellywright,+1-393-972-8220x5113,5809 Danny Streets Apt. 548,Adamshire,TX,88189,1917-07-14,20,53035.3746727684,premium,regular,0,paid_search,2022-03-02 07:01:29,,True
CUST_000012,Leslie Mercer,lesliemercer@outlook.com,lmercer610,+1-219-776-3990x8216,2721 Aaron Estates Suite 245,Christopherville,MI,53565,1991-10-16,36,32857.0967010287,mainstream,regular,0,organic,2022-03-02 18:09:03,,True
CUST_000013,Sara Young,sara.young@gmail.com,sarayoung,(827)241-3558,48187 Katherine Flat Suite 271,South Meredithton,SC,33577,1920-09-25,34,40906.109756377715,premium,regular,0,paid_search,2022-03-02 09:59:00,,True
CUST_000014,Maurice Roberts,maurice.roberts@outlook.com,maurice_roberts,404-967-4058x703,51670 Nguyen Square,Port Katherine,AR,87900,1945-01-07,52,34815.766953200706,budget,regular,0,social,2022-03-03 15:30:17,,True
CUST_000015,Mackenzie Daniels,mackenzie_daniels@gmail.com,mackenzie.daniels,001-716-520-7421x89782,02123 Phillip Path Apt. 189,South Coreyside,KS,33102,1953-09-11,64,46847.90225598351,mainstream,regular,0,referral,2022-03-03 11:34:14,,True
